@relation nba_all
@attribute stats.totals.pts.value integer
@attribute stats.totals.ast.value integer
@attribute stats.totals.trb.value integer
@attribute stats.per_game.pts_per_g.value real
@attribute stats.per_game.ast_per_g.value real
@attribute stats.per_game.trb_per_g.value real
@attribute stats.advanced.per.value real
@attribute stats.advanced.ts_pct.value real
@attribute stats.advanced.ws.value real
@attribute stats.advanced.dws.value real
@attribute stats.advanced.ows.value real
@attribute stats.advanced.efg_pct.value real
@attribute stats.totals.g.value integer
@attribute honors.allstar_appearances integer
@attribute honors.championships integer
@attribute honors.mvpshares integer
@attribute hall_of_fame {True, False}
@data
6909,602,4257,13.7,1.2,8.4,19.6,0.545,37.9,10.6,27.3,0.499,506,3,0,0,False
12670,1909,2617,11.7,1.8,2.4,16.0,0.537,41.5,17.6,23.9,0.513,1083,0,0,0,False
4902,742,1262,11.8,1.8,3.0,13.9,0.515,15.4,6.8,8.6,0.47,417,0,0,0,False
20880,2369,12849,26.4,3.0,16.2,25.3,0.511,136.0,44.2,91.8,0.436,792,11,1,2.628,True
2085,312,1640,4.8,0.7,3.7,14.5,0.502,13.3,9.5,3.8,0.475,438,0,0,0,False
2163,563,766,6.0,1.6,2.1,9.9,0.488,4.9,4.4,0.5,0.446,360,0,0,0,False
1731,1022,385,5.9,3.5,1.3,13.0,0.505,8.0,3.7,4.4,0.47,291,0,0,0,False
15840,1861,5424,19.2,2.3,6.6,17.8,0.502,75.0,15.4,59.6,0.45,823,6,0,0.066,True
3516,1467,3342,4.8,2.0,4.6,10.5,0.5,22.4,16.2,6.2,0.459,733,0,1,0,False
3243,393,932,10.3,1.2,2.9,12.7,0.526,9.1,4.9,4.2,0.452,316,0,0,0,False
7056,952,2312,10.6,1.4,3.5,14.3,0.517,24.2,10.2,14.0,0.479,664,0,0,0,False
7157,1214,4392,12.6,2.1,7.7,16.9,0.501,30.3,14.7,15.6,0.459,568,0,0,0,False
