@relation nba_no_ws
@attribute stats.totals.pts.value integer
@attribute stats.totals.ast.value integer
@attribute stats.totals.trb.value integer
@attribute stats.per_game.pts_per_g.value real
@attribute stats.per_game.ast_per_g.value real
@attribute stats.per_game.trb_per_g.value real
@attribute stats.advanced.per.value real
@attribute honors.allstar_appearances integer
@attribute honors.championships integer
@attribute honors.mvpshares integer
@attribute hall_of_fame {True, False}
@data
6909,602,4257,13.7,1.2,8.4,19.6,3,0,0,False
12670,1909,2617,11.7,1.8,2.4,16.0,0,0,0,False
4902,742,1262,11.8,1.8,3.0,13.9,0,0,0,False
20880,2369,12849,26.4,3.0,16.2,25.3,11,1,2.628,True
2085,312,1640,4.8,0.7,3.7,14.5,0,0,0,False
2163,563,766,6.0,1.6,2.1,9.9,0,0,0,False
1731,1022,385,5.9,3.5,1.3,13.0,0,0,0,False
15840,1861,5424,19.2,2.3,6.6,17.8,6,0,0.066,True
3516,1467,3342,4.8,2.0,4.6,10.5,0,1,0,False
3243,393,932,10.3,1.2,2.9,12.7,0,0,0,False
7056,952,2312,10.6,1.4,3.5,14.3,0,0,0,False
7157,1214,4392,12.6,2.1,7.7,16.9,0,0,0,False
8385,1637,2794,11.8,2.3,3.9,14.2,0,0,0,False
3579,1606,1129,7.7,3.5,2.4,11.3,0,0,0,False
7664,3715,2798,10.6,5.1,3.9,15.5,0,0,0.008,False
11517,2066,2995,13.6,2.4,3.5,15.6,0,0,0,False
3214,2194,917,6.9,4.7,2.0,10.2,0,0,0,False
15535,5499,4249,14.1,5.0,3.9,14.6,5,3,0.084,True
2097,274,1776,8.2,1.1,7.0,12.6,0,1,0,False
435,112,222,4.0,1.0,2.0,13.0,0,0,0,False
2747,806,640,8.5,2.5,2.0,11.9,0,0,0,False
2083,175,1366,7.4,0.6,4.9,11.0,0,0,0,False
5564,1075,3845,10.9,2.1,7.5,14.6,0,0,0,False
3490,404,1210,10.9,1.3,3.8,15.1,0,0,0,False
7039,1038,4011,15.4,2.3,8.8,16.0,4,0,0.033,True
1081,524,295,4.4,2.2,1.2,9.6,0,0,0,False
5153,1246,1469,11.0,2.7,3.1,14.1,0,0,0,False
5917,713,1649,12.3,1.5,3.4,14.1,0,0,0,False
9014,2750,5087,11.7,3.6,6.6,14.4,0,1,0,False
15347,1704,8834,14.6,1.6,8.4,19.1,6,0,0.088,False
12619,2647,4117,16.1,3.4,5.3,14.7,4,0,0,False
1215,494,682,3.4,1.4,1.9,9.5,0,0,0,False
5892,921,1342,13.6,2.1,3.1,12.5,0,0,0,False
1942,244,925,7.3,0.9,3.5,12.2,0,0,0,False
10241,1800,10685,7.9,1.4,8.2,12.1,1,0,0.001,False
2458,219,1334,11.1,1.0,6.0,14.0,0,0,0,False
1495,409,586,5.7,1.6,2.2,10.8,0,1,0,False
7427,1368,1339,17.9,3.3,3.2,16.1,4,0,0.003,False
10243,1603,7624,16.2,2.5,12.1,16.7,5,1,0.006,True
2983,546,837,9.8,1.8,2.8,14.5,0,0,0,False
1378,386,527,6.5,1.8,2.5,12.0,0,1,0,False
1804,807,671,4.8,2.1,1.8,9.9,0,0,0,False
3071,183,1655,8.5,0.5,4.6,14.3,0,0,0,False
10882,3929,4066,14.0,5.0,5.2,17.0,4,0,0.004,False
832,99,282,7.1,0.8,2.4,10.9,0,0,0,False
1198,103,930,7.3,0.6,5.7,15.4,0,0,0,False
974,129,720,4.4,0.6,3.3,8.2,0,0,0,False
19460,2190,8630,16.4,1.9,7.3,18.3,2,0,0.203,False
2702,628,1339,9.0,2.1,4.5,13.8,0,0,0,False
560,60,432,2.7,0.3,2.1,9.4,0,0,0,False
1490,175,760,6.8,0.8,3.5,11.2,0,0,0,False
4030,864,1461,13.0,2.8,4.7,16.0,0,1,0,False
813,127,534,5.2,0.8,3.4,13.2,0,0,0,False
3815,507,2554,11.9,1.6,8.0,12.3,1,0,0,False
2936,529,1991,8.6,1.6,5.9,12.3,0,0,0,False
1090,614,248,6.6,3.7,1.5,15.5,0,0,0,False
1500,171,1087,9.8,1.1,7.1,14.8,0,0,0,False
4461,701,669,15.4,2.4,2.3,16.4,0,0,0,True
508,61,170,3.5,0.4,1.2,10.3,0,0,0,False
2426,338,1409,8.1,1.1,4.7,13.6,0,0,0,False
3093,428,959,9.5,1.3,3.0,14.0,0,0,0,False
1343,180,1525,3.6,0.5,4.1,9.0,0,0,0,False
2197,352,313,11.7,1.9,1.7,18.1,0,0,0,False
723,44,170,6.1,0.4,1.4,16.7,0,2,0,False
4369,929,5887,4.8,1.0,6.5,12.4,0,1,0.004,False
507,81,684,3.7,0.6,5.0,8.6,0,0,0,False
2533,225,1440,8.5,0.8,4.8,16.7,0,0,0,False
1958,278,1584,5.6,0.8,4.5,8.8,0,0,0,False
